timestamp,market_name,outcome,best_bid,best_ask
2026-07-22T22:54:51.290313+00:00,New Rihanna Album before GTA VI?,Yes,0.52,0.56
2026-07-22T22:54:51.290826+00:00,New Rihanna Album before GTA VI?,No,0.44,0.48
