timestamp,equity,price,position,strategy
2026-07-22T22:18:29.028559+00:00,9985.999199839967,65987.22,-1,sma
2026-07-22T22:20:57.182777+00:00,10000.132035217837,65940.6,-1,sma
2026-07-22T22:21:57.328256+00:00,10010.430027877348,65906.63,-1,sma
2026-07-22T22:22:57.467990+00:00,10001.884240033027,65934.82,-1,sma
2026-07-22T22:23:57.584941+00:00,10000.313924991042,65940.0,-1,sma
2026-07-22T22:24:57.781850+00:00,9989.861326024311,65974.48,-1,sma
2026-07-22T22:25:57.894158+00:00,9984.959396636492,65990.65,-1,sma
2026-07-22T22:26:57.985950+00:00,9984.371286369802,65992.59,-1,sma
2026-07-22T22:27:58.162184+00:00,9982.870695740878,65997.54,-1,sma
2026-07-22T22:28:58.410011+00:00,9982.870695740878,65997.54,-1,sma
2026-07-22T22:29:58.523651+00:00,9984.753254893525,65991.33,-1,sma
2026-07-22T22:30:58.615820+00:00,9989.661247273787,65975.14,-1,sma
